,created_at,tweet,clean_tweets,tweet_len,sentiment
0,2019-10-18 10:35:19,"RT @realDonaldTrump: Democrats are now the party of high taxes, high crime, open borders, late-term abortion, socialism, and blatant corrup…",realdonaldtrump democrat pa high tax high crime open border late term abo ion socialism blatant rrup,100,-1
1,2019-10-18 10:35:19,RT @realDonaldTrump: This deal could NEVER have been made 3 days ago. There needed to be some “tough” love in order to get it done. Great f…,realdonaldtrump deal uld never made day ago needed tough love order get done great,82,1
2,2019-10-18 10:35:19,"RT @realDonaldTrump: Tonight, we forcefully condemn the blatant corruption of the Democrat Party, the Fake News Media, and the rogue bureau…",realdonaldtrump tonight forcefully ndemn blatant rruption democrat pa fake news medium rogue bureau,99,-1
3,2019-10-18 10:35:19,@realDonaldTrump You gave Turkey the part of Syria where all the Kurds lived...AND didnt sanction them for invading… https://t.co/mqJ336a2U3,realdonaldtrump gave turkey pa syria kurd lived didnt sanction invading mqj,75,0
4,2019-10-18 10:35:19,"RT @realDonaldTrump: Just arrived at the American Airlines Center in Dallas, Texas. Will be out shortly as we wait for more of you to get i…",realdonaldtrump arrived american airline center dallas texas sho ly wait get,76,-1
5,2019-10-18 10:35:21,RT @realDonaldTrump: “This President is the most patriotic President I’ve seen in many years. He is going to do what is good for Americans.…,realdonaldtrump president patriotic president seen many year going good american,80,1
6,2019-10-18 10:35:21,"RT @realDonaldTrump: 95% Approval Rating in the Republican Party. Thank you! Just won two Congressional Seats in North Carolina,  &amp; a Gover…",realdonaldtrump approval rating republican pa thank two congressional seat carolina amp gover,93,0
7,2019-10-18 10:35:21,@realDonaldTrump you (in your own words) are f**ked. #TrumpRussia #AllRoadsSeemToLeadToPutin #TrumpGenocideInSyria… https://t.co/0etpk3DsBQ,realdonaldtrump word ked trumprussia allroadsseemtoleadtoputin trumpgenocideinsyria etpk dsbq,93,0
8,2019-10-18 10:35:21,"RT @realDonaldTrump: This is a great day for civilization. I am proud of the United States for sticking by me in following a necessary, but…",realdonaldtrump great day civilization proud united state sticking following necessary,86,1
9,2019-10-18 10:35:22,"RT @realDonaldTrump: Thank you Dallas, Texas - I love you! #TrumpRallyDallas #KAG2020 https://t.co/meWpesDYeM",realdonaldtrump thank dallas texas love trumprallydallas kag mewpesdyem,71,1
