,created_at,tweet,clean_tweets,tweet_len,sentiment
0,2020-03-10 17:06:42,RT @AddressingLife: A man who infected people 2 seats behind him on a long bus journey has led Chinese epidemiologists to conclude that cor…,addressinglife man infected people seat behind long bus journey led chinese epidemiologist nclude,97,-1
1,2020-03-10 17:06:42,RT @Reuters: WHO says a member of its staff has been infected with #coronavirus and says it's taking 'all precautions necessary' https://t.…,reuters say member staff infected ronavirus say taking precaution necessary,75,0
2,2020-03-10 17:06:42,"RT @WesHagerman: Oh my god, the doctors and nurses at Bernie's Coronavirus town hall are PISSED at the media question they just got. They g…",weshagerman oh god doctor nurse bernie coronavirus town hall pissed medium question got,87,0
3,2020-03-10 17:06:42,RT @pixiestateomind: Europe importing diseases to Africa... Where have I seen this before?,pixiestateomind europe impo ing disease africa seen,51,0
4,2020-03-10 17:06:42,"Since he cannot fly out the country, Hage gonna drive around this MF 😂😂😂😂",since cannot fly untry hage gonna drive around mf,49,1
5,2020-03-10 17:06:43,"RT @maustermuhle: BREAK: @AmericanU is the first local university to cancel in-person classes and go all-online because of the coronavirus,…",maustermuhle break americanu first local university cancel person class go online ronavirus,91,1
6,2020-03-10 17:06:43,"RT @tariqnasheed: Wait... calling this global pandemic the ""Chinese Coronavirus"" is now ethnically insensitive...

But damn near every othe…",tariqnasheed wait calling global pandemic chinese coronavirus ethnically insensitive damn near every othe,105,1
7,2020-03-10 17:06:43,"RT @GovMikeDeWine: If you have questions related to  #coronavirus, our #COVID19 public hotline is open from 9am to 8pm each day.

You can…",govmikedewine question related ronavirus covid public hotline open pm day,73,0
8,2020-03-10 17:06:43,$DG $DLTR $TGT - Retailers that are winning amid the coronavirus outbreak https://t.co/BHMYwcnU4e,dg dltr tgt retailer winning amid ronavirus outbreak bhmywcnu,61,1
9,2020-03-10 17:06:42,"RT @soledadobrien: Scientists call it the coronavirus, but your racism is impressive.",soledadobrien scientist call ronavirus racism impressive,56,1
10,2020-03-10 17:06:43,We’re doomed.,doomed,6,0
11,2020-03-10 17:06:43,"@TheKpopProf @ABC At any age, the death rates are higher than the flu. Plus there is no vaccine and we don’t fully… https://t.co/nltApzUEBu",thekpopprof abc age death rate higher flu plus vaccine fully nltapzuebu,71,1
12,2020-03-10 17:06:43,"@muzkmuzkmuzk Nah, it sounds like coronavirus",muzkmuzkmuzk nah sound like ronavirus,37,1
13,2020-03-10 17:06:43,"RT @HealthyFla: If you’re looking for the latest information on #COVID19 in Florida, be sure to check out HealthyFla's website: https://t.c…",healthyfla looking latest information covid florida sure check healthyfla website,81,1
14,2020-03-10 17:06:42,Here Are Some Of The Major Cultural Events Upended By The Coronavirus Outbreak https://t.co/7NpmNcq1ye https://t.co/HNrs8EDVcP,major cultural event upended coronavirus outbreak npmncq ye hnrs edvcp,70,1
15,2020-03-10 17:06:43,"Motorcycling - Grand Prix of the Americas rescheduled due to coronavirus

#SoccerNews #soccer #sports
https://t.co/5QhjtbDRzs",motorcycling grand prix america rescheduled due ronavirus soccernews soccer spo qhjtbdrzs,89,1
16,2020-03-10 17:06:43,RT @thehill: Harvard cancels in-person classes for the rest of the semester over coronavirus fears https://t.co/R1QrlOC3x3 https://t.co/fqS…,thehill harvard cancel person class rest semester ronavirus fear qrloc fqs,74,0
17,2020-03-10 17:06:43,"RT @1Omniscience: At this point, The Simpsons are the true kings of Predictive Programming🤦🏽‍♂️ #Foodforthought #Brainwashedbymedia #corona…",omniscience point simpson true king predictive programming foodfo hought brainwashedbymedia rona,96,1
18,2020-03-10 17:06:43,"RT @FOAMecmo: Managing critically ills #COVID19 pts? be prepared! be familiar with case definition, strict compliance with IPC
@ESICM webin…",foamecmo managing critically ill covid pt prepared familiar case definition strict mpliance ipc esicm webin,107,-1
19,2020-03-10 17:06:43,"RT @tastefullytayy: Coronavirus has crossed the line for Italians
https://t.co/wmI41MKZZn",tastefullytayy coronavirus crossed line italian wmi mkzzn,57,0
20,2020-03-10 17:06:43,RT @AlexJamesFitz: Coronavirus is gonna be the thing that gets workers the benefits they've long deserved.,alexjamesfitz coronavirus gonna thing get worker benefit long deserved,70,-1
21,2020-03-10 17:06:43,"RT @khaleejtimes: #Coronavirus: Malls install thermal scanners, sanitise trolleys every hour in UAE https://t.co/BhlXImTzoi",khaleejtimes coronavirus mall install thermal scanner sanitise trolley every hour uae bhlximtzoi,96,0
22,2020-03-10 17:06:43,RT @TeaPainUSA: ATENTION CORONAVIRUS VICTIMS: You can rest easier knowin’ your illness didn’t keep Donald Trump from playin’ golf.,teapainusa atention coronavirus victim rest easier knowin illness keep donald trump playin golf,95,-1
23,2020-03-10 17:06:43,RT @JoVEJournal: The science community is working hard to address the potential health crisis brought about by the outbreak of a novel #cor…,jovejournal science mmunity working hard address potential health crisis brought outbreak novel,95,-1
24,2020-03-10 17:06:43,RT @Rehmanbaloch59: First case of #coronavirus confirmed from #Quetta. A patient admitted in the Fatima Jinnah Hospital has been tested pos…,rehmanbaloch first case ronavirus nfirmed quetta patient admitted fatima jinnah hospital tested po,98,1
25,2020-03-10 17:06:43,RT @AANP_NEWS: Nurse Practitioners Prepare for Mounting Coronavirus Cases https://t.co/o7OWlpPrvZ #COVID2019 #AANPHPC #NPsLead,aanp news nurse practitioner prepare mounting coronavirus case owlpprvz covid aanphpc npslead,93,0
26,2020-03-10 17:06:43,"I’m in Jamaica, I got work tomorrow and I don’t wanna go, who’s coming to get me ?👉🏾👈🏾🥺",jamaica got work tomorrow wanna go ming get,43,0
27,2020-03-10 17:06:43,"RT @KT_So_It_Goes: welcome to the circus of values, one coronavirus vaccine: $150 https://t.co/qP1ns6z0qj",kt go wel circus value one ronavirus vaccine qp n qj,52,0
28,2020-03-10 17:06:43,"RT @__ariannalp: crap this virus is turning all the people into pigeons

#coronavirus https://t.co/UopvX9BqZD",ariannalp crap virus turning people pigeon ronavirus uopvx bqzd,63,-1
29,2020-03-10 17:06:43,"RT @DrDenaGrayson: A doctor in #Italy says scarce resources require triaging who gets care, with old patients left by the wayside. “The cho…",drdenagrayson doctor italy say scarce resource require triaging get care old patient left wayside cho,101,1
30,2020-03-10 17:06:43,"RT @FosterChangeUK: Confirmed cases:

25/2/2020: Italy 320; UK 12

9/3/2020: Italy &gt;7,000; UK 319

Italy don’t have more cases. They’re jus…",fosterchangeuk confirmed case italy uk italy gt uk italy case jus,65,1
31,2020-03-10 17:06:43,RT @daverain: Reading these sort of comments makes me wonder where we are all heading. Does he not have older relatives? So sad. https://t.…,daverain reading mments make wonder heading older relative sad,62,-1
32,2020-03-10 17:06:43,RT @BW: Iran is dealing with one of the world’s worst outbreaks of the new coronavirus. Hospitals are struggling to keep up https://t.co/QP…,bw iran dealing one world worst outbreak new ronavirus hospital struggling keep qp,82,-1
33,2020-03-10 17:06:43,RT @taradublinrocks: #TestTrump because he was in the same place with these 5 at AND THEN GOT ON A PLANE with #GasMaskMatt 🤨 #MattGaetzIsAQ…,taradublinrocks testtrump place got plane gasmaskmatt mattgaetzisaq,67,0
34,2020-03-10 17:06:43,RT @defense_news: F-35 work goes on in Italy despite coronavirus lockdown https://t.co/ZwmhfoFVJe https://t.co/NAhXsgDXmP,defense news work go italy despite ronavirus lockdown zwmhfofvje nahxsgdxmp,75,0
35,2020-03-10 17:06:43,RT @keywilliamss: So NONE of these Corona Virus cases have been black people?! LEMME FOUND OUT WE IMMUNE. It’s the least God can do after s…,keywilliamss none corona virus case black people lemme found immune least god,77,-1
36,2020-03-10 17:06:43,"RT @BBCWorld: 36 Iranians die of alcohol poisoning following ""rumours that drinking alcohol would prevent the coronavirus infection""

https…",bbcworld iranian die al hol poisoning following rumour drinking al hol would prevent ronavirus infection,104,0
37,2020-03-10 17:06:43,RT @NJGov: BREAKING: First #Covid19-related death reported in New Jersey is a male in his 60s from Bergen County. RIP.,njgov breaking first covid related death repo ed new jersey male bergen county rip,82,1
38,2020-03-10 17:06:43,"RT @ewarren: Our economy was already showing cracks before the coronavirus. But an incompetent administration leading the response, engaged…",ewarren nomy already showing crack ronavirus mpetent administration leading response engaged,92,0
39,2020-03-10 17:06:43,RT @TeaPainUSA: ATENTION CORONAVIRUS VICTIMS: You can rest easier knowin’ your illness didn’t keep Donald Trump from playin’ golf.,teapainusa atention coronavirus victim rest easier knowin illness keep donald trump playin golf,95,-1
40,2020-03-10 17:06:43,"the pottery workshop i was going to this weekend just got cancelled due to coronavirus

nothing is safe anymore :0 https://t.co/rbKsFsgApn",pottery workshop going weekend got cancelled due ronavirus nothing safe anymore rbksfsgapn,90,1
41,2020-03-10 17:06:43,"RT @__ariannalp: crap this virus is turning all the people into pigeons

#coronavirus https://t.co/UopvX9BqZD",ariannalp crap virus turning people pigeon ronavirus uopvx bqzd,63,-1
42,2020-03-10 17:06:43,RT @marianaxvargas: this video is worse than the coronavirus,marianaxvargas video worse ronavirus,36,-1
43,2020-03-10 17:06:43,"RT @thecrimson: BREAKING: Harvard classes will move online starting March 23 due to a growing global coronavirus outbreak, University Presi…",thecrimson breaking harvard class move online sta ing march due growing global ronavirus outbreak university presi,114,-1
44,2020-03-10 17:06:43,RT @kidmanscill: My wife and I get corona virus. We go to Disneyland and ride California screamin. The park finds out and quarantines us on…,kidmanscill wife get rona virus go disneyland ride california screamin park find quarantine u,93,0
45,2020-03-10 17:06:43,holy shit sign me up i don’t even need to be cured,holy shit sign even need cured,30,-1
46,2020-03-10 17:06:43,RT @BuzzFeedNewsUK: Hackers are sending phishing attacks disguised as emails with information about coronavirus and fake HIV test results.…,buzzfeednewsuk hacker sending phishing attack disguised email information ronavirus fake hiv test result,104,-1
47,2020-03-10 17:06:43,RT @TheRickWilson: This has Stephen Miller’s paw prints all over it,therickwilson stephen miller paw print,38,0
48,2020-03-10 17:06:43,"RT @KenDilanianNBC: Bossert tells NBC News just now: ""We are 10 days from our hospitals getting creamed.""",kendilaniannbc bosse tell nbc news day hospital getting creamed,63,0
49,2020-03-10 17:06:43,"RT @tribelaw: Important information on COVID-19:

https://t.co/Ev3BOMCUss",tribelaw impo ant information covid ev bomcuss,46,0
50,2020-03-10 17:09:06,RT @OluyomiOjo: This is the part where we all accept that this thing can be airborne and people wearing masks are not alarmists. https://t.…,oluyomiojo pa accept thing airborne people wearing mask alarmist,64,0
51,2020-03-10 17:09:06,who's he gon show his 6pack to now,gon show pack,13,0
52,2020-03-10 17:09:06,"RT @Jerusalem_Post: ""Beginning this evening, data about #Israelis returning to the country will be found in Police information systems to e…",jerusalem post beginning evening data israeli returning untry found police information system,93,0
53,2020-03-10 17:09:06,I want boba tea so bad and the only thing that keeps on coming up on my fyp is either ppl making boba tea or cute a… https://t.co/Voy0fGGms2,want boba tea bad thing keep ming fyp either ppl making boba tea cute voy fggms,79,-1
54,2020-03-10 17:09:06,@Dr_FarrisD The point is that there are too many patients and too few doctors.  China has more than 300 medical tea… https://t.co/thKSfZkZ1b,dr farrisd point many patient doctor china medical tea thksfzkz,63,1
55,2020-03-10 17:09:06,"RT @BNODesk: UPDATE: Austria closes border with Italy, bans indoor events with more than 100 people, and closes universities to stop the sp…",bnodesk update austria close border italy ban indoor event people close university stop sp,90,0
56,2020-03-10 17:09:06,RT @tyrone_brother: The public should be more scared of white males than coronavirus. They are a menace to society https://t.co/oEaUm8alYX,tyrone brother public scared white male ronavirus menace society oeaum alyx,75,0
57,2020-03-10 17:09:06,"RT @enaasbaig: English: do it

Urdu: Corona",enaasbaig english urdu corona,29,0
58,2020-03-10 17:09:06,"Now @AntonioGuterres says ""there is one more question"" - now, there are dozens of questions about Guterres covering… https://t.co/8Bk6YVHler",antonioguterres say one question dozen question guterres vering bk yvhler,73,0
59,2020-03-10 17:09:06,"RT @redfishstream: Humanity in a time of coronavirus.

An 87-year old patient who has been inside a Wuhan hospital for a month with #COVID1…",redfishstream humanity time ronavirus year old patient inside wuhan hospital month covid,88,1
60,2020-03-10 17:09:06,"RT @choo_ek: Please help combat xenophobia:
1. Don't call COVID-19 ""Chinese coronavirus"" or the ""Wuhan virus""
2. Don't shun Asian people or…",choo ek please help mbat xenophobia call covid chinese ronavirus wuhan virus shun asian people,94,0
61,2020-03-10 17:09:06,RT @dealer_rug: Why is everyone buying toilet paper? It’s the coronavirus not the chorrovirus,dealer rug everyone buying toilet paper ronavirus chorrovirus,61,-1
62,2020-03-10 17:09:06,"RT @charliekirk11: Now, more than ever, we need the wall

With China Virus spreading across the globe, the US stands a chance if we can con…",charliekirk ever need wall china virus spreading across globe u stand chance,76,0
63,2020-03-10 17:09:06,"RT @KatiePavlich: The virus is literally from Wuhan. It’s the Wuhan virus. China lied about it, censored the situation, which led to it’s s…",katiepavlich virus literally wuhan wuhan virus china lied censored situation led,80,0
64,2020-03-10 17:09:06,"RT @vinhlhq2015: #COVID19: Singapore charges visitors for coronavirus treatment!!!
—
Note: Treatment of severe respiratory infections in Si…",vinhlhq covid singapore charge visitor ronavirus treatment note treatment severe respiratory infection si,105,0
65,2020-03-10 17:09:06,$GM NEW ARTICLE : General Motors Cancels Reveal of New Electric Cadillac Over Coronavirus Concerns… https://t.co/KffhNEVMTv,gm new icle general motor cancel reveal new electric cadillac coronavirus concern kffhnevmtv,92,1
66,2020-03-10 17:09:06,RT @stayfrea_: The government think they’re slick giving us nice weather so we can all link up in crowded places and catch Coronavirus...IM…,stayfrea government think slick giving u nice weather link crowded place catch coronavirus im,93,1
67,2020-03-10 17:09:06,"RT @anne_theriault: North Americans: *hoarding toilet paper, vociferously debating the merits of hand sanitizer*

France: FOR THE LAST TIME…",anne theriault american hoarding toilet paper vociferously debating merit hand sanitizer france last time,105,-1
68,2020-03-10 17:09:06,"RT @airnewsalerts: #CoronaVirusUpdate | Corona Virus confirmed cases in the country increase to 50.

https://t.co/TMjXfUBAdI",airnewsale coronavirusupdate corona virus nfirmed case untry increase tmjxfubadi,80,0
69,2020-03-10 17:09:06,RT @SpeakerPelosi: .@SenSchumer &amp; I are demanding that the Trump Administration prioritize the health and safety of American workers and th…,speakerpelosi senschumer amp demanding trump administration prioritize health safety american worker th,103,0
70,2020-03-10 17:09:07,"RT @mattfitzgerry: @RoseStokes “You, Me and COVID-19”.

“10 Things I Hate About Flu”.

“When Harry Infected Sally”.

“The Fault In Our Imm…",mattfitzgerry rosestokes covid thing hate flu harry infected sally fault imm,76,-1
71,2020-03-10 17:09:06,Repost from Discord. I’m lucky to keep my salary even if I’m forced home for the Corona Virus emergency currently s… https://t.co/hO86T9eyKF,repost dis rd lucky keep salary even forced home corona virus emergency currently ho eykf,89,1
72,2020-03-10 17:09:06,@afshinrattansi @liarpoliticians More like when China does.,afshinrattansi liarpoliticians like china,41,0
73,2020-03-10 17:09:07,RT @labaskii: Oya Sac State... come and look at your mates!,labaskii oya sac state look mate,32,0
74,2020-03-10 17:09:07,RT @TheJessieWoo: White folks really upset that black folks ain’t catching coronavirus EVEN IN AFRICA 😭,thejessiewoo white folk really upset black folk catching ronavirus even africa,78,1
75,2020-03-10 17:09:07,"RT @IngrahamAngle: President Trump must take China on here—they created this health crisis, now they’re claiming America is to blame.  Typi…",ingrahamangle president trump must take china created health crisis claiming america blame typi,95,0
76,2020-03-10 17:09:07,RT @davidsirota: Joe Biden helped decimate Michigan’s job base by working with the GOP to pass NAFTA &amp; China PNTR — and now he &amp; his campai…,davidsirota joe biden helped decimate michigan job base working gop pas nafta amp china pntr amp campai,103,-1
77,2020-03-10 17:09:07,RT @pdacosta: Retweet this if you still have no idea how to get tested for the #coronavirus.,pda sta retweet still idea get tested ronavirus,47,0
78,2020-03-10 17:09:07,"RT @MunroPTL: Serious question for everyone:
Do you personally know anyone that’s ever died from the flu?",munroptl serious question everyone personally know anyone ever died flu,71,-1
79,2020-03-10 17:09:07,"RT @CDCgov: As people age, their immune systems change, making it harder to fight off serious illness like #COVID19. Underlying health cond…",cdcgov people age immune system change making harder fight serious illness like covid underlying health nd,106,-1
